package	version	architecture	deb_sha256	archive_path
hostname	3.25	arm64	04d1ff24cb605788b59ed30d0052c1039c8bce2fb44c01c3c4b0c6edd4ea7ccc	pool/main/h/hostname/hostname_3.25_arm64.deb
init-system-helpers	1.69~deb13u1	all	addf78073e1cbc5a5508937e11d2571055e29835e00ee8fab52a66775649378f	pool/main/i/init-system-helpers/init-system-helpers_1.69~deb13u1_all.deb
initramfs-tools	0.148.4	all	4c65a6c385a3815aa65706066ae3a35395bf4ae7e13c9d4df4c655bd1d1ef956	pool/main/i/initramfs-tools/initramfs-tools_0.148.4_all.deb
initramfs-tools-bin	0.148.4	arm64	9e7aae5616f75a5672daafe900abef4bf185c07e1fab5b5049e162326814826f	pool/main/i/initramfs-tools/initramfs-tools-bin_0.148.4_arm64.deb
initramfs-tools-core	0.148.4	all	03cb11b8acd188e3b441526698536694f515ea6f2f5a20aef5ae70e5eb485a7a	pool/main/i/initramfs-tools/initramfs-tools-core_0.148.4_all.deb
iproute2	6.15.0-1	arm64	6750637e683afeef92690c7a136bace6c277066d644aa0da0adc08e2d6785af6	pool/main/i/iproute2/iproute2_6.15.0-1_arm64.deb
klibc-utils	2.0.14-1	arm64	d868145abcb0c201f7b56503163899c92e9224934571e94c41f177982bd8d411	pool/main/k/klibc/klibc-utils_2.0.14-1_arm64.deb
kmod	34.2-2	arm64	fd7300fcb8b93cc5f77aa439ee539ceb8050f5cf1d22d86e85179d04f7de5b6f	pool/main/k/kmod/kmod_34.2-2_arm64.deb
libacl1:arm64	2.3.2-2+b1	arm64	10b2399169e42e6d8db55944116cb2ed61caab997cf700acb83de0b0668e5721	pool/main/a/acl/libacl1_2.3.2-2+b1_arm64.deb
libapparmor1:arm64	4.1.0-1	arm64	6e5ec85de21bd5f489327e6d2c85c2825e82ff6f4581dc936704d022a1f164af	pool/main/a/apparmor/libapparmor1_4.1.0-1_arm64.deb
libapt-pkg7.0:arm64	3.0.3	arm64	c5aea30677a9c7a56edc92fcba3361f5e8cb31d5cdfedf72fc9d8e4fba150bda	pool/main/a/apt/libapt-pkg7.0_3.0.3_arm64.deb
libattr1:arm64	1:2.5.2-3	arm64	25057d7bfba969a76cdf18ae88ce7ff6e664520726ddf02cdde97c03d5e9a43c	pool/main/a/attr/libattr1_2.5.2-3_arm64.deb
libaudit-common	1:4.0.2-2	all	b6edcd7aa36a2a5a1abd2c52966d69a99eebdb69c8f5cb33cbf415b0875775e3	pool/main/a/audit/libaudit-common_4.0.2-2_all.deb
libaudit1:arm64	1:4.0.2-2+b2	arm64	a1124818a702c584ee139948c20596f6bb464d8110a14bc2dc748646ae461cab	pool/main/a/audit/libaudit1_4.0.2-2+b2_arm64.deb
libblkid1:arm64	2.41.5-0+deb13u1	arm64	d7d122b4c7a0a8ae6135a1687c9c4ce80a88f9e498c01998f634dd32caab9016	pool/updates/main/u/util-linux/libblkid1_2.41.5-0+deb13u1_arm64.deb
libbpf1:arm64	1:1.5.0-3	arm64	1ca7f600fb8e723a41d6b8220370a6e441f91a1ac513cd59cfeaf4eb2f5136ec	pool/main/libb/libbpf/libbpf1_1.5.0-3_arm64.deb
libbsd0:arm64	0.12.2-2	arm64	6827c1b3ad8dcbf3478803f9150359433e3376a3bde01c4503888a22eb3924e3	pool/main/libb/libbsd/libbsd0_0.12.2-2_arm64.deb
libbz2-1.0:arm64	1.0.8-6	arm64	3537fe4fc577a60c8a9568873cd577db7ebc135eb8bb1825f18caf8972d9d2f2	pool/main/b/bzip2/libbz2-1.0_1.0.8-6_arm64.deb
libc-bin	2.41-12+deb13u3	arm64	02f366115bea79b87fe26c7dec4dc444f9fdcc76440905d88cc26dbef075511b	pool/main/g/glibc/libc-bin_2.41-12+deb13u3_arm64.deb
libc6:arm64	2.41-12+deb13u3	arm64	ff529924782d3286181188fc265a6a92e7fe28975fb3a925dc0e05c0ca66e52f	pool/main/g/glibc/libc6_2.41-12+deb13u3_arm64.deb
libcap-ng0:arm64	0.8.5-4+b1	arm64	eb6da83296e4710a8600c1426692ed9b9eadcab7ebd36dbabc2a562b5c1ab691	pool/main/libc/libcap-ng/libcap-ng0_0.8.5-4+b1_arm64.deb
libcap2:arm64	1:2.75-10+deb13u1+b1	arm64	c9a77aa670c9ca163c624a00e55c4419df40b770fe516010dc495c04a16c80b0	pool/main/libc/libcap2/libcap2_2.75-10+deb13u1+b1_arm64.deb
libcap2-bin	1:2.75-10+deb13u1+b1	arm64	0717912b3dc3bb1fd0011d662da9d95c1ec08ac23cea951d3c7cb3ed1437d6b0	pool/main/libc/libcap2/libcap2-bin_2.75-10+deb13u1+b1_arm64.deb
libcom-err2:arm64	1.47.2-3+b11	arm64	99aececea45aa2dcbd8689acd71c43f9c964be43f73b1dfeabcd51ef791f1e8a	pool/main/e/e2fsprogs/libcom-err2_1.47.2-3+b11_arm64.deb
libcrypt1:arm64	1:4.4.38-1	arm64	b9aaa808aa3812b3de3e54eb5dfb16762c1779db032604abef2354c02fdc29b8	pool/main/libx/libxcrypt/libcrypt1_4.4.38-1_arm64.deb
libdb5.3t64:arm64	5.3.28+dfsg2-9	arm64	bfef56508d69fd3f940668f6abd0a466a362cabf63c4cc1c787cc58d28f6e92f	pool/main/d/db5.3/libdb5.3t64_5.3.28+dfsg2-9_arm64.deb
libdbus-1-3:arm64	1.16.2-2	arm64	ca6bb5f2047ad58d274cb7d14216035a07d8e5aae6f6a0122c4f6293c9c39515	pool/main/d/dbus/libdbus-1-3_1.16.2-2_arm64.deb
libdebconfclient0:arm64	0.280	arm64	8c2976dc62d0f5133018ea62636105335f9b17da77adce7fed1ffb24e2533dba	pool/main/c/cdebconf/libdebconfclient0_0.280_arm64.deb
libelf1t64:arm64	0.192-4	arm64	815b4265c7d6c89c5bbad456bdeed7af893da6912c9d16cf4c581001927c0e37	pool/main/e/elfutils/libelf1t64_0.192-4_arm64.deb
libexpat1:arm64	2.8.3-1~deb13u1	arm64	c3248c4beb721c8290e6e34527ae56b1fc965aa6a14982ca602df4458ef0854e	pool/updates/main/e/expat/libexpat1_2.8.3-1~deb13u1_arm64.deb
libgcc-s1:arm64	14.2.0-19	arm64	1108bc87879833d6d9a145f22a4a15cddb34e065b4b5f4b97bee586adbac2851	pool/main/g/gcc-14/libgcc-s1_14.2.0-19_arm64.deb
libgmp10:arm64	2:6.3.0+dfsg-3	arm64	a27bbc27f119161ea9702c8dd66f54131cdf0d2ca73000f50ea91ef2fdfef0fb	pool/main/g/gmp/libgmp10_6.3.0+dfsg-3_arm64.deb
libgssapi-krb5-2:arm64	1.21.3-5+deb13u1	arm64	70803e8f5b9dd0a7167671bdd0b3cd05642384c1fc49e8270d340d85bf6c7d4c	pool/main/k/krb5/libgssapi-krb5-2_1.21.3-5+deb13u1_arm64.deb
libhogweed6t64:arm64	3.10.1-1	arm64	cb92d5a51c4fd6c7b7cbb62aaa60c7af830d0bea5b410fb1f47ee685e26944d1	pool/main/n/nettle/libhogweed6t64_3.10.1-1_arm64.deb
libk5crypto3:arm64	1.21.3-5+deb13u1	arm64	2453e8d4fa3b91b868d5bc10e84a15ad9c7bc4e4cb49379cb1f560bdce50db4a	pool/main/k/krb5/libk5crypto3_1.21.3-5+deb13u1_arm64.deb
libkeyutils1:arm64	1.6.3-6	arm64	5e680f317a6613161986417fb3ed63007c9228343f5ac2348551b103cc7fd7b4	pool/main/k/keyutils/libkeyutils1_1.6.3-6_arm64.deb
libklibc:arm64	2.0.14-1	arm64	0ef1dc248d0c21f19cfd67aca6c32d04259a34bdbf4b0d21d45754ad8e237ed1	pool/main/k/klibc/libklibc_2.0.14-1_arm64.deb
libkmod2:arm64	34.2-2	arm64	01d2bf4ead7f6da5aca7f1ecc108cbe858a349ca55368742ead758fa7383e10a	pool/main/k/kmod/libkmod2_34.2-2_arm64.deb
libkrb5-3:arm64	1.21.3-5+deb13u1	arm64	1f5c46480abf894f662d894696c8a6c6510c2b20616cd453e88b27b11d3be25d	pool/main/k/krb5/libkrb5-3_1.21.3-5+deb13u1_arm64.deb
libkrb5support0:arm64	1.21.3-5+deb13u1	arm64	6381bcb54e58854f9ebac2dfa580c3d6112d01b4ca3f725e7263b9374f79608e	pool/main/k/krb5/libkrb5support0_1.21.3-5+deb13u1_arm64.deb
liblastlog2-2:arm64	2.41.5-0+deb13u1	arm64	934e7f90814e014aa0ab8ffbadef4f31ce44228b7135db9b733f4b68cabfccfc	pool/updates/main/u/util-linux/liblastlog2-2_2.41.5-0+deb13u1_arm64.deb
liblz4-1:arm64	1.10.0-4	arm64	f86fa7f8112d56b74f99c4a8baade57a9962d187d7c8e319428e171b2a34d223	pool/main/l/lz4/liblz4-1_1.10.0-4_arm64.deb
liblzma5:arm64	5.8.1-1+deb13u1	arm64	6a7b98005f84fc26d66a45e432f70d0793646a734f8c44cd1626b3ffa8edd7c6	pool/main/x/xz-utils/liblzma5_5.8.1-1+deb13u1_arm64.deb
libmd0:arm64	1.1.0-2+b1	arm64	772e86842fd3fa1816a0cfee4833a73996aaa550461491543b886b9c8f999052	pool/main/libm/libmd/libmd0_1.1.0-2+b1_arm64.deb
libmnl0:arm64	1.0.5-3	arm64	f21bb29056e9ede0031cc411ffa3b1272858fa4b950e1cd9e50756c5c2ece97f	pool/main/libm/libmnl/libmnl0_1.0.5-3_arm64.deb
libmount1:arm64	2.41.5-0+deb13u1	arm64	14e2d555459f3c0b1442bb49dd2d266ea202a003198c86f65508a1dbfaa18732	pool/updates/main/u/util-linux/libmount1_2.41.5-0+deb13u1_arm64.deb
libnettle8t64:arm64	3.10.1-1	arm64	16107ce5a7b522da021fa8aba42d42af9c5e90ddabfcda3710aff6ea95808ee0	pool/main/n/nettle/libnettle8t64_3.10.1-1_arm64.deb
libnss-systemd:arm64	257.13-1~deb13u1	arm64	13e8ced686b74b8b3017cdcc6c9f584c9e3b910f5399784b5de96e1e909d997b	pool/main/s/systemd/libnss-systemd_257.13-1~deb13u1_arm64.deb
libpam-modules:arm64	1.7.0-5	arm64	3c6c4b0be396f2a90d150effd480e06674d7d22739fe4c54ffbf95587fe2bcf4	pool/main/p/pam/libpam-modules_1.7.0-5_arm64.deb
libpam-modules-bin	1.7.0-5	arm64	8c50ad191934474b5177cba48aed2c4023ec8392ef7096808311315c50b3bfec	pool/main/p/pam/libpam-modules-bin_1.7.0-5_arm64.deb
libpam-runtime	1.7.0-5	all	b02792c9ed6174db695a653b95ef3629fdac3a73ba1eff1754ab161b5711bfbf	pool/main/p/pam/libpam-runtime_1.7.0-5_all.deb
libpam-systemd:arm64	257.13-1~deb13u1	arm64	05bc0f7e21e896299aae22ea45075185cea0fb25574218a0ad9235f93029b823	pool/main/s/systemd/libpam-systemd_257.13-1~deb13u1_arm64.deb
libpam0g:arm64	1.7.0-5	arm64	2dd0fdc9af8a8a48f0a54581f74005d4d8623baa8aea9ac3d201624c3217b6d3	pool/main/p/pam/libpam0g_1.7.0-5_arm64.deb
libpcre2-8-0:arm64	10.46-1~deb13u1	arm64	f74d3e1082c2d6d2f7b4d47e41070de4a7e2f7f9d0e6e0c901ebfe0e82cdd3ee	pool/main/p/pcre2/libpcre2-8-0_10.46-1~deb13u1_arm64.deb
libseccomp2:arm64	2.6.0-2	arm64	013d0af0444177960d5899f4673e35d492f31edfc40cb8d5a82bb56147ab2e35	pool/main/libs/libseccomp/libseccomp2_2.6.0-2_arm64.deb
libselinux1:arm64	3.8.1-1	arm64	fc13da4c7783b8f4361d92ef1045931f298d1b0ac78ed1a85c2232615f49fc6f	pool/main/libs/libselinux/libselinux1_3.8.1-1_arm64.deb
libsemanage-common	3.8.1-1	all	65375d886749c236bd1da4d9990b7c2469d2fe66019a28e5614f6814376d3dcb	pool/main/libs/libsemanage/libsemanage-common_3.8.1-1_all.deb
libsemanage2:arm64	3.8.1-1	arm64	ed73a76d3c39ac5cbd0a447527bba3dc33d3ec3785af7583b70ab41f85fc0243	pool/main/libs/libsemanage/libsemanage2_3.8.1-1_arm64.deb
libsepol2:arm64	3.8.1-1	arm64	0119cbb4d12a6b5093430a00714019bac87a446f34f21d834453742f1af35b8b	pool/main/libs/libsepol/libsepol2_3.8.1-1_arm64.deb
libsmartcols1:arm64	2.41.5-0+deb13u1	arm64	1881ac0bc2a58a52ecbf6e7690b17552233b71e94129db79e2302656b0d22f24	pool/updates/main/u/util-linux/libsmartcols1_2.41.5-0+deb13u1_arm64.deb
libsqlite3-0:arm64	3.46.1-7+deb13u1	arm64	69dd4b705eca29fe134c17f18aaa4cc9e7ecd01c0250d5e195358801514c76ac	pool/main/s/sqlite3/libsqlite3-0_3.46.1-7+deb13u1_arm64.deb
libssl3t64:arm64	3.5.7-1~deb13u2	arm64	ec131326aa9fa9ec934eca386bc7991f328fe383eaefd3e43bd8901a9199c5ae	pool/updates/main/o/openssl/libssl3t64_3.5.7-1~deb13u2_arm64.deb
libstdc++6:arm64	14.2.0-19	arm64	6669b0c52a2e7c6af9adfdabce3ff6e286065cdfbc7b85280862b5f799daebee	pool/main/g/gcc-14/libstdc++6_14.2.0-19_arm64.deb
libsystemd-shared:arm64	257.13-1~deb13u1	arm64	b48df445566ff6c39395c9fc571524c9e03803bc2e434d7869fc21e723c64b4d	pool/main/s/systemd/libsystemd-shared_257.13-1~deb13u1_arm64.deb
libsystemd0:arm64	257.13-1~deb13u1	arm64	d2f63c408549c29eaefb6f4c948393edce99f45ee8e43c991391bef63fb7d54b	pool/main/s/systemd/libsystemd0_257.13-1~deb13u1_arm64.deb
libtinfo6:arm64	6.5+20250216-2	arm64	2a747f7fff3c2347c357387a7133df997410f07ba1b1df1a1461a97bd7fbc2fc	pool/main/n/ncurses/libtinfo6_6.5+20250216-2_arm64.deb
libtirpc-common	1.3.6+ds-1	all	300f582e2c9151a8d329568c705cadc76252c417147312fe331c4560d2c7a6c3	pool/main/libt/libtirpc/libtirpc-common_1.3.6+ds-1_all.deb
libtirpc3t64:arm64	1.3.6+ds-1	arm64	ae390ce96435829f0d5252305fb9b22001f5bcc85477e452373ddb2a4fa4dbc1	pool/main/libt/libtirpc/libtirpc3t64_1.3.6+ds-1_arm64.deb
libudev1:arm64	257.13-1~deb13u1	arm64	459b1c9c17cc3c586e90d13d2a991715d498c6eed6c046cabf321021167bc380	pool/main/s/systemd/libudev1_257.13-1~deb13u1_arm64.deb
libuuid1:arm64	2.41.5-0+deb13u1	arm64	448ad6b190184dbff24508ef2eda88bd737a5ffc0f9750eb779fcf9885292bea	pool/updates/main/u/util-linux/libuuid1_2.41.5-0+deb13u1_arm64.deb
libxtables12:arm64	1.8.11-2	arm64	b200a559a4ae1b4ebcee4fb0fcaef6a16ef01abbe3da8887de15e800b1a6440d	pool/main/i/iptables/libxtables12_1.8.11-2_arm64.deb
libxxhash0:arm64	0.8.3-2	arm64	66665776740ced6c5ddcb48a89a92b056d0dcb13851e1ff573d2b99b766e5c6c	pool/main/x/xxhash/libxxhash0_0.8.3-2_arm64.deb
libzstd1:arm64	1.5.7+dfsg-1	arm64	924540bd59fdbfa77a0604360efdaca54411a43daf11c7e002a3c64791b67448	pool/main/libz/libzstd/libzstd1_1.5.7+dfsg-1_arm64.deb
linux-base	4.12.1	all	d86e703aff81f404f2104af9411fd2acbae5fdb65f9264e488bb276a77a562be	pool/main/l/linux-base/linux-base_4.12.1_all.deb
login	1:4.16.0-2+really2.41.5-0+deb13u1	arm64	c0bc34268bc1528b627f8c0cfe1e6d9ca7b4dd00428690a63f1d1b0adb5dc508	pool/updates/main/u/util-linux/login_4.16.0-2+really2.41.5-0+deb13u1_arm64.deb
login.defs	1:4.17.4-2	all	b4bbb8242cbf5588de7aafeb9d578a3dee1db2891f444ab454fd30bd80ccf2b4	pool/main/s/shadow/login.defs_4.17.4-2_all.deb
logsave	1.47.2-3+b11	arm64	26bc538fb6b9279c99a5f83fb81e770c3df841ea8de1db64c7da0320536c6f94	pool/main/e/e2fsprogs/logsave_1.47.2-3+b11_arm64.deb
mawk	1.3.4.20250131-1	arm64	0ab946ff4b8a34d93f81727957612f290c86cd0db39e849dc0ae5e3f3a9563d6	pool/main/m/mawk/mawk_1.3.4.20250131-1_arm64.deb
mount	2.41.5-0+deb13u1	arm64	8b40a9eb9f72647c8732e9264c7328233f8ef8e9d962e516edeb210caa6789b6	pool/updates/main/u/util-linux/mount_2.41.5-0+deb13u1_arm64.deb
ncurses-base	6.5+20250216-2	all	190e775260a38973c415a36ae99f33ad1b37ea6ca99929d7c5d53843fc23e914	pool/main/n/ncurses/ncurses-base_6.5+20250216-2_all.deb
ncurses-bin	6.5+20250216-2	arm64	7ac6919efb0effc9004caae758811bfe85bb486a057262822468e90d73d38458	pool/main/n/ncurses/ncurses-bin_6.5+20250216-2_arm64.deb
openssl	3.5.7-1~deb13u2	arm64	ff38f9e4fdbfef72d9cb31088e5e42f58c83c2fb1d1bbb4e4b4c9adc53c17100	pool/updates/main/o/openssl/openssl_3.5.7-1~deb13u2_arm64.deb
openssl-provider-legacy	3.5.7-1~deb13u2	arm64	7628954796eb651fc499ad98d4e51435691c2ccce0b5fbae6b198cbece742db4	pool/updates/main/o/openssl/openssl-provider-legacy_3.5.7-1~deb13u2_arm64.deb
passwd	1:4.17.4-2	arm64	a6863055a3d53bf805dd0048b836e4b7a3d14a899b832a50d577b047da4202d8	pool/main/s/shadow/passwd_4.17.4-2_arm64.deb
perl-base	5.40.1-6	arm64	65eef1a545207309b9ce87139be81be9dd12f24b0bd12be935cb36e51bdb6f2d	pool/main/p/perl/perl-base_5.40.1-6_arm64.deb
sed	4.9-2+deb13u1	arm64	c654fa045de8cc722855b8db59990b703cb7299c897c6e187bf949d42df82b62	pool/main/s/sed/sed_4.9-2+deb13u1_arm64.deb
sqv	1.3.0-3+b2	arm64	feb611506f420594bf767b1a8748429802ff4f324536ab1154bcc61478b9a8b6	pool/main/r/rust-sequoia-sqv/sqv_1.3.0-3+b2_arm64.deb
systemd	257.13-1~deb13u1	arm64	dcc3ba37f0488ecd513820035b4efc300e198849f5b6437a9bac9c2f307149ab	pool/main/s/systemd/systemd_257.13-1~deb13u1_arm64.deb
systemd-sysv	257.13-1~deb13u1	arm64	af3c883fabc97850c7afe9489a9e1808b4db2d9cfdc4dc1639da9e1b0356c97b	pool/main/s/systemd/systemd-sysv_257.13-1~deb13u1_arm64.deb
sysvinit-utils	3.14-4	arm64	1366e87a382a6b95a0a7c507b8f1be9b193f772f3428f9f7e0271a217915cfae	pool/main/s/sysvinit/sysvinit-utils_3.14-4_arm64.deb
tar	1.35+dfsg-3.1	arm64	c460a8294202ca3802b7c703b0bd70dd8bda1f2fc8785839595cf9d5e060d71b	pool/main/t/tar/tar_1.35+dfsg-3.1_arm64.deb
tzdata	2026b-0+deb13u1	all	306013b77311e875620e89f43c447765a6c72b7b398e0baa8e5721bcbbdf66cf	pool/main/t/tzdata/tzdata_2026b-0+deb13u1_all.deb
udev	257.13-1~deb13u1	arm64	eed77ec245475039937d5c2d5ae3bbd7241420f21277a2edbb28c60cf9fec1ca	pool/main/s/systemd/udev_257.13-1~deb13u1_arm64.deb
util-linux	2.41.5-0+deb13u1	arm64	d427f83a08d46107e8f7d39f1522a8a316e785e45f04ad657d2ecb7570210d84	pool/updates/main/u/util-linux/util-linux_2.41.5-0+deb13u1_arm64.deb
zlib1g:arm64	1:1.3.dfsg+really1.3.1-1+b1	arm64	209aa5cf671e97b9eb0410844fa6df4cae2e75b0c72e7802ab6c8ece13e6ddef	pool/main/z/zlib/zlib1g_1.3.dfsg+really1.3.1-1+b1_arm64.deb
