id	scope	artifact	sha256	source_anchor	observation	decision
S11	arm64-psci	arch/arm64/kernel/psci.c	634062ea1c0034439a07d48abafd03081ee81466d88658f80354b24f2acf9e4d	psci.c:35-132	Generic PSCI die performs CPU_OFF and generic kill performs active affinity polling.	P30 and P32 guards must suppress both paths.
S12	cpu-hotplug-core	kernel/cpu.c	685422537d348390bffde2d1f1fd443b82b113a54171f877749e64881663d58d	cpu.c:782-795,863-905,1007-1038,1274-1323	Post-publication callback failure automatically unwinds AP then BP state because HOTPLUG_CPU is enabled.	P32 must publish before outer rollback and preserve exact prefixes.
S13	cpu-hotplug-order	include/linux/cpuhotplug.h	bfcb84fea79dd339b708c7ff92ffb7594c1ca65a8abfab3152c86d79101ca056	cpuhotplug.h:191-247	The fixed online and teardown state order establishes the first physical boundary.	P32 primary guard belongs in cpu_disable before arch teardown effects.
S14	patched-method	arch/arm64/kernel/mt6797_psci.c	bcf0f0ac74a27fbf735893bb4b96cd8e35c55ef07b38f14ef47d5de1cc2be204	selected source after patch 0092	The exact selected method contains no off callbacks and no membership closure implementation.	This experiment authorizes no implementation or build.
S15	selected-config	kernel.config	f655beba038ad5d98f3af5897fb080329d45781b637ab7dcb409e8a353c54440	buildbox package e0fc95ff:da921x-post-event-lifecycle	The retained package provides the exact configuration used for reachability pruning.	Configuration drift reopens all conditional rows.
S16	selected-image	Image	32aa83c01f6c3ea3e36d63e5154e007292e2bd840253ac1933b0240a1e6054e2	buildbox package e0fc95ff:da921x-post-event-lifecycle	Image identity is recorded only to bind the audited configuration lineage.	No runtime claim is made.
S17	selected-symbols	System.map	1fa07344f9882b5039b983ec3a3cb25b4a94c17027bc2dc71db35c2b0ea5f5ac	buildbox package e0fc95ff:da921x-post-event-lifecycle	Symbol identity is recorded only to bind the audited configuration lineage.	No runtime claim is made.
S18	arm64-status-abi	arch/arm64/include/asm/smp.h	4efadfe25aa9c2641aa5512b14b0a7d766759d72e2674a3e5620627f6e730672	smp.h:115-143	Boot status values and target panic/stuck helpers are global rather than generation-scoped.	P30 branch ownership must wrap rather than reinterpret the status ABI.
S19	arm64-asid	arch/arm64/mm/context.c	123d80b2ad9c37b6e9b58296c217744747c87f483cfbc424a1f4695a64cb9728	context.c:63-76	A target with fewer ASID bits than the boot aggregate publishes CPU_PANIC_KERNEL.	A41 must freeze the target-width proof before CPU_ON.
S20	arm64-early-status	arch/arm64/mm/mmu.c	d188f7c92e0e6dddff5820173f8f8753ddef1387fadefac2c5f961423ee74515	mmu.c:65 and head.S:382-411	The pre-MMU status cell is global and is cleared only after MMU enable; the too-slow path can park without a unique shared reason.	P30U cannot attribute zero or inherited status without generation arbitration.
S21	arm64-capability-order	arch/arm64/tools/cpucaps	1d6e1ebbed42797517d89fc44213553242020df3c08faea400056711d5015f3e	cpucaps canonical ordering	CTR Spectre-v2 Spectre-v4 BHB 1742098 and speculative-AT order determines the first reported conflict.	Do not mistake first failure for the exhaustive required set.
S22	prepared-dispatch	arch/arm64/kernel/cpu_ops.c	130ac3f7ab837cf31194a7683c92ad07b2f437528256aaf71e83283085f9d8c4	managed prepared source state S03	Selected prepared bytes register mt6797_psci_ops in the DT operation table.	Bind CPU8 and CPU9 dispatch to the exact patched result.
S23	prepared-link	arch/arm64/kernel/Makefile	bdeb0c45a1b2f08145b4ea26ead4c299b0f71e8628b3a94dffae7821e797b7dc	managed prepared source state S03	Selected prepared bytes link mt6797_psci.o under ARCH_MEDIATEK.	The veto method must be present in the selected image lineage.
S24	prepared-topology	arch/arm64/boot/dts/mediatek/mt6797.dtsi	a2c99295c3be92bf6cea468159978bce51af7055b5f38a5a3701106b02cf5684	managed prepared source state S03	Selected prepared DT assigns mediatek,mt6797-psci only to Cortex-A72 CPU8 and CPU9.	A53 CPU0-7 retain generic PSCI.
S25	prepared-binding	Documentation/devicetree/bindings/arm/cpus.yaml	b58032c87866b4432a7e6978a34bff2209edbc9b32eb541444747a66646eec63	managed prepared source state S03	Selected prepared binding admits mediatek,mt6797-psci.	Dispatch composition is schema-consistent.
S26	io-wq-cpuhp	io_uring/io-wq.c	5a6ddda12d1f1731a421e3e76d22f05e10fbb4aece4a294ccfdb333a7b4e9fa4	io-wq.c:1289-1297,1419-1444,1513-1524	IO_URING registers a multi-instance dynamic io-wq online/offline state; live instances update per-wq CPU masks and return zero.	Include the state and possible partial multi-instance prefix even when no instance is live.
S27	arm-sdei-cpuhp	drivers/firmware/arm_sdei.c	dbc0096b5a47579f4dbf10709b7ef9a6f0a5dd13153852f54f6b5a10f35b9781	arm_sdei.c:656-707,787-795,1007-1015	SDEI conditionally registers a dynamic state after successful firmware interface probe; up/down can return firmware errors.	Include as conditional fallible callback and configuration/firmware drift gate.
S28	gicv3-starting	drivers/irqchip/irq-gic-v3.c	2c374774812ad6f203090dd6d1a544eb0b1195fade8faa6d08ea2d6090f2a3db	irq-gic-v3.c:1412-1418	GICv3 registers the selected STARTING state.	Bind the no-fail prepublication callback set.
S29	debug-monitor-starting	arch/arm64/kernel/debug-monitors.c	31c54830d52fb73d697ec851907835dfdbc5e0b2aa167744b7afb67d97894ad9	debug-monitors.c:139-143	Arm64 debug monitors register a STARTING callback.	Bind the no-fail prepublication callback set.
S30	arm-arch-timer-starting	drivers/clocksource/arm_arch_timer.c	0613e2f5d21a736e98fb993db17e8db5c8e050b813c59035fb5bd4a696dd7ead	arm_arch_timer.c:775-779,1060-1064	The architectural timer and event stream register STARTING callbacks.	Bind timer prepublication behavior.
S31	dummy-timer-starting	drivers/clocksource/dummy_timer.c	795e766c3bf6a0fc624d2d385885023f8cdc5ef33c718b28fbb9ed7124f701f4	dummy_timer.c:24-36	The dummy timer registers its selected STARTING callback.	Bind the remaining timer prepublication behavior.
S32	hrtimer-online	kernel/time/hrtimer.c	ed82d76521ae1c675c1916dac39e649ba167c4df180412dd175c4703582e528b	hrtimer callback bodies referenced by fixed CPUHP states	Hrtimer startup participates before online publication.	Bind the fixed callback result classification.
S33	scheduler-cpuhp	kernel/sched/core.c	109d101fd7abad24c9630d68c7d75a41983ac596e52374c80df404a9f9e07073	scheduler CPUHP callback bodies	Scheduler online and active callbacks can leave deadline-bandwidth teardown errors.	Bind fixed and final callback semantics.
S34	smpboot-cpuhp	kernel/smpboot.c	322b86c4d8c73da8b99d0858919777d5b855178ce72b7ad623e398d94d69a7ad	smpboot CPUHP callback bodies	Smpboot threads participate in the fixed ONLINE range.	Bind fixed callback ordering and rollback.
S35	irq-affinity-cpuhp	kernel/irq/cpuhotplug.c	9704625cb5668c19313cb4eb79c20fd8f726b5d949d52fc5bfc3d47feb92852e	IRQ affinity CPUHP callback bodies	IRQ affinity participates in fixed ONLINE and teardown paths.	Bind the callback and physical-boundary inventory.
S36	block-mq-cpuhp	block/blk-mq.c	f08896d71b530e32ec8e932b5906fd2265c9ca2a8054d1a42640e83858709c9a	blk-mq.c:3866-3897,5323-5330	Block MQ registers multi-instance ONLINE and DEAD states.	Retain instance prefixes and down errors.
S37	perf-cpuhp	kernel/events/core.c	219be1efff8dd8f860d4ade221f2cbd61b541d921ea4bcb6796511ae023b72d2	perf CPUHP callback bodies	Perf resolves to selected stubs because PERF_EVENTS is disabled.	Configuration drift reopens the fixed callback result.
S38	timer-migration-cpuhp	kernel/time/timer_migration.c	bcb28fbedd784a467e0a7b1f737692b04809ea977042caff73e09bccb9cc2c86	timer_migration.c:2037-2046	Timer migration registers fixed prepare and online states and can reject violated invariants.	Classify the selected fixed ONLINE set as fallible.
S39	workqueue-cpuhp	kernel/workqueue.c	7c59d4229cd6508f53fe98a77bfab8b85f1f756bba2420cd13bab7d7450888ea	workqueue CPUHP callback bodies	Workqueue participates in fixed ONLINE and rollback with invariant failure paths.	Retain its completed and unwound prefix.
S40	random-cpuhp	drivers/char/random.c	584182e70e42568d8bb9a44b15481c8732f0372bce810c462c94deebfc2613a5	random.c:582,1043 and CPUHP callback bodies	Random follows workqueue in the fixed ONLINE range.	Bind fixed callback ordering.
S41	rcu-cpuhp	kernel/rcu/tree.c	5b396ed9fec9056a7b5ec2f58c38f66b3f8116d1c105c962117d008f9eb111e2	RCU CPUHP callback bodies	RCU online dying and dead effects contribute to rollback divergence.	Retain exact RCU effects in P32.
S42	kthread-cpuhp	kernel/kthread.c	2240b1cc1b0f5b037284d51d8329aee10f107d21c0915f7c3e4ac1abf3f4c5b9	kthread.c:953-956 and callback body	Kthread online can return allocation or state errors.	Keep the fixed ONLINE set fallible.
S43	cacheinfo-core	drivers/base/cacheinfo.c	70a358244087f051441cd74ea5c9062551ec447d1eed8617a6ba9a73d3ee474a	cacheinfo.c:1044-1048 and callback bodies	Base cacheinfo registers the final fixed ONLINE state and propagates discovery or sysfs errors.	Keep cacheinfo as a realistic P32 trigger.
S44	cacheinfo-arm64	arch/arm64/kernel/cacheinfo.c	1b19ffc958dcb53028e804a3d31d924ba113eb2805d8118b5d30970390980f1e	arm64 cacheinfo discovery callbacks	Arm64 supplies the architecture cache hierarchy used by base cacheinfo.	Bind architecture-specific cache errors.
S45	writeback-dynamic	mm/page-writeback.c	916b6e0671bcb00013421693531de82f2f17df700417336d0c2818002dff430b	page-writeback.c:2333-2336	Writeback registers the first mandatory dynamic ONLINE state after any earlier conditionals.	Bind mandatory relative registration order.
S46	vmstat-dynamic	mm/vmstat.c	42f358d199a615e62d8c66bda9321d629311303d7082bd6dd7ed0b1ca4263329	vmstat.c:2276-2284	Vmstat registers after writeback.	Bind mandatory relative registration order.
S47	padata-dynamic	kernel/padata.c	128ab694b76f23c4e2e4715f9cac3703263df07ef96c0bf4ef9f8f9a75da95c4	padata.c:798-804,991-997,1095-1114	Padata registers a fallible multi-instance state after vmstat.	Retain partial instance prefixes and relative order.
S48	arm64-topology-dynamic	arch/arm64/kernel/topology.c	a96d522a62c14a3771ecdf2ef3717c56289ba0fa3831b6c89243e938f8e1f74b	topology.c:359-364	Arm64 topology registers after padata.	Bind mandatory relative order before conditional SDEI.
S49	cpu-capacity-dynamic	drivers/base/topology.c	0dd3cc99a3803077dd765e859b31dee44959f48788b934b8556b3199def2979d	topology.c:205-210,257-260	CPU capacity registers after io-wq and can propagate missing-device errors.	Bind relative order and fallibility.
S50	arm64-cpuinfo-dynamic	arch/arm64/kernel/cpuinfo.c	a1d7f995a4c490295adbc2a6189f0be46b4aff529badfb89f07244e4c0b76e64	cpuinfo.c:408-413	Arm64 cpuinfo registers after capacity and any mismatched-32-bit conditional state.	Bind relative order and userspace-object errors.
S51	percpu-counter-dynamic	lib/percpu_counter.c	2c26e67751f939dfb21ff6221884280ae84a2a94a54de4468fb9dc8746130d6d	percpu_counter.c:398-404	Per-CPU counters register after cpuinfo.	Bind mandatory relative registration order.
S52	cpu-led-dynamic	drivers/leds/trigger/ledtrig-cpu.c	1b2e85b88162d9aae424afea2bfbdde73a88a0d990e74241815dc8800e4518e7	ledtrig-cpu.c:166-172	The selected CPU LED trigger registers after per-CPU counters.	Bind mandatory relative registration order.
S53	printk-dynamic	kernel/printk/printk.c	f65165f6c487af3d04387b9a2184f1f0022cdfb8aa10909bae565db2754ea742	printk.c:4456-4463	Printk registers the last mandatory dynamic ONLINE state.	Bind the end of mandatory relative order.
S54	arm-pvtime-conditional	arch/arm64/kernel/paravirt.c	fed9e169e0043b4ebc9d8fdcda54cf4bb0daa73c97928b850059085a383f7f74	paravirt.c:69-166	Pvtime conditionally registers before writeback when both SMCCC feature probes succeed; up is fallible and can leave a partial mapping effect.	Require same-boot registration proof before assigning numeric slots.
S55	gicv3-its-conditional	drivers/irqchip/irq-gic-v3-its.c	e0af3d4dce2dc2b2a64eb9c932b6c9e3a5fdb384cdfd60439cde8c17b5b5f4ae	irq-gic-v3-its.c:5440-5481,5793-5814	ITS memreserve can register a fallible self-removing state before pvtime when EFI and ITS prerequisites hold.	Selected EFI=n excludes it; configuration drift shifts every later slot.
