id	kind	boundary	owner	required_context	rule	ordering	lock_rule	evidence	failure	implementation_state
A11	query	already-off-cpu9-affinity-info	linux-a72-transition-coordinator	cpu9-already-off-or-cpu9-is-not-exact-target	forbidden-already-off-or-nontarget-query;no-repeat	never	no-lock-context-authorizes-call	independent-resource-readbacks-required-instead	phase=FAULT-if-attempted;reset-only	contract-only-blocked
A12	core-order	base-v7.1.3-arm64-HOTPLUG_CORE_SYNC_DEAD	linux-arm64-hotplug-core	CONFIG_HOTPLUG_CPU=y-selects-HOTPLUG_CORE_SYNC_DEAD;target-a72-off-request	arm64-cpu_die-reports-DEAD-inside-cpu_die-immediately-before-cpu_operations-cpu_die-and-PSCI-CPU_OFF;controller-later-enters-cpuhp_bp_sync_dead-and-ops-cpu_kill	disabling-sync-dead-skips-arch_cpuhp_cleanup_dead_cpu-and-physical-teardown	no-ledger-lock-held-by-target-across-cpu_operations-cpu_die	pinned-linux-7.1.3-kernel-cpu.c-and-arch-arm64-kernel-smp.c-source	DEAD-is-not-CPU_OFF-WFI-or-physical-off-proof;configuration-toggle-is-not-a-fix	contract-only-blocked
A13	query	base-v7.1.3-generic-psci-cpu_kill	linux-arm64-psci	controller-after-DEAD-completion	generic-loop=end-start-plus-msecs_to_jiffies-100;do-affinity-info;OFF-return;usleep_range-100-1000;while-time_before	incompatible-with-one-active-query-and-unbounded-first-smc	no-state-lock-held-across-smc	pinned-linux-7.1.3-arch-arm64-kernel-psci.c-source	generic-cpu_psci_ops-off-path-prohibited-for-a72;phase=FAULT-on-uncertainty	contract-only-blocked
A14	cpu-operations	canonical-0092-mt6797_psci_ops	linux-mt6797-a72-cpu-method	cpu8-or-cpu9-uses-mediatek-mt6797-psci	contains-cpu_init-cpu_prepare-cpu_boot-cpu_can_disable-only;cpu_can_disable=false;cpu_disable=absent;cpu_die=absent;cpu_kill=absent;future-owner-must-audit-cpu_can_disable-optional-cpu_disable-including-resident-TOS-check-cpu_die-and-cpu_kill	must-not-enable-generic-cpu_psci_ops-off-as-is;cpu-disable-veto-remains-until-every-applicable-phase-membership-provider-admission-and-lock-row-in-this-frozen-contract-is-implemented-and-proven;nonexhaustive-critical-includes-P03-P04-P07-P20-P25-P26-P31-M03-M04-A01-A02-A08-A09-A14-A16-A18-A19-A27-A28-A29-A30-A31-A32-A33-A34-A38-A40;no-enumerated-subset-can-relax-veto	full-off-contract-not-die-kill-alone	canonical-patch-0092-source-and-exact-hash;canonical-op_cpu_disable-order-source	implementation-blocked;cpu-disable-veto-required	contract-only-blocked
A15	provenance	base-v7.1.3-versus-public-equivalent-gemian	project-evidence-owner	core-psci-contract-base-versus-retained-kernel-ordering-evidence	keep-source-classes-distinct;neither-substitutes-for-exact-active-gemian-revision	before-promoting-any-source-claim	no-runtime-lock-effect	manifest-pinned-linux-7.1.3-source;separate-gemian-59e00a9-source-order-audit	reject-conflated-provenance	contract-only-blocked
A16	completion-propagation	base-v7.1.3-arch_cpuhp_cleanup_dead_cpu	linux-arm64-hotplug-core	controller-runs-ops-cpu_kill-after-target-DEAD	void-cleanup-only-warns-on-kill-error;kill-result-not-propagated-to-_cpu_down;generic-takedown-can-clear-cpu_online_mask-and-return-success	require-A30-core-interface-propagation-change-or-reviewed-outer-completion-sidechannel-before-transaction-success	custom-cpu_kill-alone-cannot-stop-generic-publication	pinned-linux-7.1.3-arch-arm64-kernel-smp.c-and-kernel-cpu.c-source	terminal-divergent-cpuhp-versus-members-state;phase=FAULT;members-and-provider-conservative;no-rollback;platform-or-external-reset-only	contract-only-blocked
A17	admission	base-v7.1.3-public-cpu_down-and-remove_cpu-wrapper	linux-hotplug-core	cpu=8-or-9;canonical-mainline-source-lane;operation=cpu9-off-or-last-cpu8-off-only	public-offline-and-remove_cpu-device_offline-wrapper-must-both-reach-A01-exact-operation-token-admission;remove_cpu-does-not-mutate-present-topology	before-cpu_maps_update_begin-and-every-cpuhp-callback	a72_transition_lock-before-cpu_add_remove_lock-and-cpu_hotplug_lock-via-cpus_write_lock	pinned-linux-7.1.3-kernel-cpu.c-source;remove_cpu-to-device_offline-to-cpu_device_down-source-order;no-HPS-or-CPUHVFS-import	return-EPERM;no-cpuhp-callback-map-or-hardware-write	contract-only-blocked
A18	admission	canonical-a72-suspend-interlock	linux-a72-transition-coordinator	live-token-or-members-not-0x0-or-provider-not-NONE-or-phase-FAULT-or-suspend-active	veto-suspend-when-any-a72-state-owned;deny-transaction-begin-when-suspend-active	before-PM-device-notifiers-and-before-direct-suspend-_cpu_down	a72_transition_lock-orders-suspend-interlock	owner-safe-phase-members-provider-and-suspend-state-readback	pre-hardware-REJECTED-or-existing-FAULT-retained;no-hardware-write	contract-only-blocked
A19	completion-propagation	base-v7.1.3-cpuhp_bp_sync_dead	linux-hotplug-core	controller-waits-for-target-DEAD-before-arch-cleanup	void-10-second-sync-timeout-only-logs-failed-to-report-dead-state;generic-teardown-continues-without-arch-cleanup-or-cpu_kill	DEAD-sync-timeout-before-P07-OFF_COMMITTED-publication-enters-P23-FROZEN-to-FAULT;not-CPU_OFF-WFI-or-OFF-proof	require-reviewed-mt6797-specific-sync-failure-propagation-owner	pinned-linux-7.1.3-kernel-cpu.c-source	phase=FAULT;query-budget=unconsumed;no-outer-success;members-and-provider-conservative;platform-or-external-reset-only	contract-only-blocked
A20	compatibility-admission	public-equivalent-gemian-public-cpu_down	linux-a72-transition-coordinator	cpu=8-or-9;separate-gemian-3.18-evidence-lane	exact-operation-token-gate-must-dominate-legacy-path	before-cpu-maps-lock-profiling-CPU_DOWN_PREPARE-and-platform-callbacks	hps_ctxt.lock->a72_transition_lock->cpu_add_remove_lock->cpu_hotplug.lock	separate-gemian-59e00a9-source-order-audit;legacy-notifier-not-canonical-cpuhp-admission	return-EPERM;no-legacy-notifier;no-hardware-write	contract-only-blocked
A21	callback-reentrancy	auxiliary-registered-cpuhp-notifier-provider-callbacks	linux-a72-transition-coordinator	published-exact-owner-operation-target-generation-token;excludes-explicitly-assigned-mt6797-cpu-operation-completion-owner	auxiliary-callbacks-may-only-validate-published-token;must-not-acquire-a72_transition_lock-allocate-or-reuse-token-call-cpu_up-or-cpu_down-invoke-affinity-change-members-or-change-provider	at-every-auxiliary-callback-entry-before-side-effects	bounded-a72_state_lock-leaf-snapshot-only;release-before-callback-work	static-callgraph-lockdep-and-token-generation-proof;only-A09-designated-completion-owner-may-consume-affinity-budget	strict-pre-effect-P05-or-FROZEN-post-effect-P23-or-ON_ISSUED-up-P16-P19-or-post-off-FAULT;no-recursive-transition	contract-only-blocked
A22	admission	base-v7.1.3-public-cpu_up-and-add_cpu-wrapper-entry	linux-a72-transition-coordinator	cpu=8-or-9;phase=ON_ISSUED;provider=HELD;exact-owner-operation-target-generation;operation=cpu8-up-or-cpu9-up;cpuhp-target=CPUHP_ONLINE;A36-exact-up-prestate-owner-and-call-shape-gate=pass;tasks_frozen=not-applicable	allow-only-exact-up-operation-target-CPUHP_ONLINE-token;deny-every-other-caller-and-intermediate-cpuhp-target;add_cpu-device_online-wrapper-must-reach-same-gate;publish-public-up-preflight-attested	at-cpu_up-entry-before-cpu_possible-try_online_node-and-cpu_maps_update_begin	a72_transition_lock-held;temporary-entry-snapshot-locks-released;state-lock-short-and-released	exact-token-snapshot-operation-target-CPUHP_ONLINE-and-A36-match;public-up-preflight-attested-in-token;add_cpu-to-device_online-to-cpu_device_up-source-order	return-EPERM;live-ON_ISSUED-mismatch-enters-P16-FAULT;no-cpuhp-callback;no-PSCI-CPU_ON-or-provider-write	contract-only-blocked
A23	admission	base-v7.1.3-early-_cpu_up-entry	linux-a72-transition-coordinator	cpu=8-or-9;phase=ON_ISSUED;provider=HELD;exact-owner-operation-target-generation;operation=cpu8-up-or-cpu9-up;cpuhp-target=CPUHP_ONLINE;A36-exact-up-prestate-owner-and-call-shape-gate=pass;public-up-preflight=attested;tasks_frozen=0	revalidate-exact-up-operation-target-CPUHP_ONLINE-token-public-preflight-and-A36-gate;deny-tasks_frozen-not-zero-every-off-operation-and-intermediate-cpuhp-target	at-_cpu_up-entry-before-cpus_write_lock-cpuhp_set_state-and-all-startup-cpuhp-callbacks	a72_transition_lock-held;state-lock-short-and-released	exact-token-snapshot-operation-target-CPUHP_ONLINE-and-A36-match;public-up-preflight-attested;tasks_frozen=0	return-EPERM;live-ON_ISSUED-mismatch-enters-P16-FAULT;no-cpuhp-callback;no-PSCI-CPU_ON-or-provider-write	contract-only-blocked
A24	admission	base-v7.1.3-direct-or-tasks-frozen-_cpu_up	linux-hotplug-and-pm-core	cpu=8-or-9;phase-not-ON_ISSUED-or-public-up-preflight-absent-or-tasks_frozen-not-0-or-operation-not-up;caller-may-hold-cpu_add_remove_lock	always-deny-unowned-unattested-or-frozen-a72-internal-cpu-up-using-leaf-state-snapshot;never-acquire-a72_transition_lock	at-earliest-_cpu_up-entry-before-cpus_write_lock-cpuhp_set_state-and-startup-cpuhp-callbacks	bounded-a72_state_lock-leaf-only;no-lock-order-inversion	exact-up-token-public-preflight-phase-ON_ISSUED-provider-HELD-and-tasks_frozen=0-required	return-EPERM;no-cpuhp-callback;no-PSCI-CPU_ON-or-provider-write	contract-only-blocked
A25	notifier	complete-base-v7.1.3-cpuhp-startup-and-auto-rollback-callback-inventory	linux-hotplug-and-registered-cpuhp-callbacks	exact-up-operation-token;all-startup-callbacks-from-CPUHP_OFFLINE-through-requested-target-state-and-every-can_rollback_cpu-teardown-branch-inventoried	admit-only-when-every-startup-and-rollback-side-effect-owner-and-branch-is-exact;auxiliary-callbacks-obey-A21-nonreentrancy;A37-auto-rollback-hazard-must-be-closed	inventory-before-P17-or-P18;runtime-validation-before-platform-CPU_ON-and-through-secondary-completion-online-publication-and-any-rollback-window	canonical-v7.1.3-lock-order-preserved	complete-active-kernel-cpuhp-startup-rollback-inventory-and-exact-source-revision	P05-REJECTED-only-before-P17-or-P18;live-ON_ISSUED-unknown-enters-P16-or-A37-terminal-path	contract-only-blocked
A26	admission	canonical-0092-a72-cpu-up-veto	linux-mt6797-a72-cpu-method	cpu8-or-cpu9-uses-mediatek-mt6797-psci;current-selected-patch-0092	cpu_boot-returns-EAGAIN;boot-veto-remains-until-every-applicable-phase-membership-provider-admission-and-lock-row-in-this-frozen-contract-is-implemented-and-proven;nonexhaustive-critical-includes-P01-P02-P14-P18-P19-P21-P24-P27-P28-P29-P30-P31-P32-R01-R02-R03-R07-M01-M02-A22-A25-A26-A28-A33-A34-A36-A37-A38-A39;no-enumerated-subset-can-relax-veto	before-any-PSCI-CPU_ON	current-cpu-method-veto-before-runtime-locking	canonical-patch-0092-source-and-exact-hash	cpu-up-denied;no-provider-or-hardware-write	contract-only-blocked
A27	completion-handoff	future-mt6797-target-controller-off-committed-handoff	linux-mt6797-a72-cpu-operation-completion-owner	exact-off-operation-target-generation;target-DEAD-published;phase=FROZEN	owner-target-atomically-publishes-P07-OFF_COMMITTED-immediately-before-CPU_OFF-smc-entry;controller-bounded-non-SMC-wait-for-exact-publication-before-A29-and-P20;timeout-CASes-P23-FAULT;target-losing-P07-CAS-must-not-issue-CPU_OFF	after-target-DEAD-before-target-CPU_OFF-and-before-controller-P20-query	bounded-leaf-state-CAS-and-wait;no-state-lock-held-across-wait-or-smc	pinned-DEAD-before-cpu_operations-cpu_die-source-order;future-mt6797-handoff-owner-required	P23-FAULT-on-timeout-or-lost-ownership;query-budget-unconsumed;platform-or-external-reset-only	contract-only-blocked
A28	entry-invariant	a72-IDLE-generic-entry-validation-after-P31-before-P01-P02-P03-P04	linux-a72-transition-coordinator	phase=IDLE;P31-same-request-operation-attempt=consumed;members-provider-and-exact-cpu8-cpu9-online-cpuhp-state-snapshot;target-present-possible-and-owner-validated-cpu_logical_map-MPIDR	P31-first-consumes-exact-A38-attempt-without-token;then-prove-only-generic-entry-invariant:members=0x0-iff-cpu8-and-cpu9-offline-members=0x1-iff-cpu8-online-and-cpu9-offline-members=0x3-iff-cpu8-and-cpu9-online-matching-provider-and-CPUHP-state-target-present-possible-and-nonaliased-MPIDR;0x2-forbidden;atomically-allocate-exact-P01-P04-token-only-after-generic-A28-pass;up-operation-specific-predecessor-state-is-later-A36-after-P01-P02-token-and-FROZEN	P31-attempt-consumption-before-generic-A28-state-checks;A28-pass-before-P01-P04-token-and-freeze;A36-operation-specific-up-predecessor-checks-after-P01-P02-before-P17-P18	P31-under-a72_transition_lock->short-a72_state_lock-then-release-leaf;generic-A28-under-a72_transition_lock->temporary-cpu_add_remove_lock-or-canonical-CPUHP-read-serialization->short-a72_state_lock;compare-and-allocate-token;release-leaf-then-temporary-read-serialization-before-public-cpu_up-or-cpu_down;retain-a72_transition_lock	predecessor-safe-off-C01-exact-mask-requirement;2026-08-03-cpu9-one-shot-before-read-only-parent-state;canonical-v7.1.3-CPUHP-online-and-cpu_logical_map-source	generic-A28-mismatch-or-aliased-MPIDR-denies-in-IDLE-with-no-token-provider-cpuhp-or-hardware-effect-and-P31-attempt-consumed;later-A36-mismatch-uses-P05-P06	contract-only-blocked
A29	implementation-blocker	mt6797-secure-concurrent-cpu-off-affinity-entry-order	linux-mt6797-a72-cpu-operation-completion-owner	phase=OFF_COMMITTED;target-may-not-yet-have-entered-CPU_OFF-smc;query-budget=one	block-P20-and-affinity-until-reviewed-exact-firmware-concurrent-SMC-lock-deadlock-proof-or-owner-safe-CPU_OFF-entry-or-WFI-discriminator;secure-WFI-poll-alone-is-not-concurrency-proof	after-A27-OFF_COMMITTED-handoff-before-P20-QUERY_INFLIGHT	no-state-lock-held-across-proof-observation-wait-or-smc	secure-effect-inventory-proves-WFI-poll-not-concurrent-SMC-safety;independent-entry-discriminator-unresolved	implementation-blocked;no-affinity-call;P22-FAULT-if-post-commit-runtime-uncertainty	contract-only-blocked
A30	completion-propagation	base-v7.1.3-generic-cpuhp-success-versus-a72-ledger	linux-hotplug-core	cpu_kill-error-or-uncertainty-swallowed-by-void-arch-cleanup-or-P32-guarded-A37-rollback;generic-cpuhp-may-clear-cpu_online_mask-and-return-success;a72-members-and-provider-remain-conservative	classify-as-terminal-divergent-state-through-P32-for-guarded-up-rollback-or-existing-off-fault-edge;never-rollback-or-reconcile-by-generic-return;require-core-interface-propagation-change-outside-custom-cpu_kill-or-reviewed-outer-completion-sidechannel-consumed-before-transaction-or-HPS-success	before-P10-membership-commit-generic-return-publication-and-HPS-accounting	no-ledger-rollback-or-token-consumption-on-generic-return-alone	pinned-linux-7.1.3-void-cleanup-and-_cpu_down-source-order	phase=FAULT;P32-owns-guarded-up-rollback;cpu_online-mask-may-diverge-from-members;no-runtime-retry-or-rollback;platform-or-external-reset-only	contract-only-blocked
A31	pre-effect-proof	pre-public-cpu_down-firmware-private-entry-authorization	linux-a72-transition-coordinator	exact-off-operation-target-generation;members-and-A28-state-match;owner-safe-private-entry-proof-required;cpu9-off-safe-off-C02=pass-or-last-cpu8-off-safe-off-L02=pass-same-live-generation	require-private-big_on-entry-exactly-0x3-for-cpu9-off-or-exactly-0x1-for-last-cpu8-off;publish-P26-same-generation-entry-snapshot-private-branch-attestation;arm-A40-complete-writer-caller-exclusion-or-immediate-owner-safe-serialized-revalidation;linux-members-cannot-substitute;post-query-per-core-readback-cannot-substitute	after-P03-or-P04-freeze-before-A01-A02-every-cpuhp-notifier-callback-A27-P07-OFF_COMMITTED-CPU_OFF-or-affinity;A40-proof-must-remain-fresh-through-P20	bounded-owner-safe-same-generation-readback-before-releasing-entry-proof-serialization	predecessor-safe-off-C02-and-C05-cpu9-gates-and-L02-and-L05-last-cpu8-gates;current-owner-safe-reader-and-complete-writer-caller-inventory-unresolved	P05-REJECTED-before-hotplug-effects;implementation-blocked;no-CPUHP-CPU_OFF-or-query	contract-only-blocked
A32	effect-boundary	FROZEN-strict-no-effect-rejection-versus-terminal-pre-P07-uncertainty	linux-a72-transition-coordinator	exact-off-operation-target-generation;phase=FROZEN;teardown-callbacks-may-have-run	P05-REJECTED-only-if-no-cpuhp-provider-or-hardware-effect-occurred;every-failure-after-any-executed-or-uncertain-effect-enters-P23-FAULT-even-if-rollback-appears-complete	before-P05-or-P07-and-after-every-pre-P07-teardown-callback-failure	leaf-state-publication-after-bounded-owner-safe-effect-classification	complete-teardown-callback-effect-inventory-required;executed-effects-never-erased-by-rejection-label	P23-FAULT-on-any-executed-or-uncertain-effect;members-provider-conservative;platform-or-external-reset-only	contract-only-blocked
A33	commit-order	P10-final-cpuhp-and-online-mask-attestation	linux-a72-transition-coordinator	exact-live-generation-operation-target;all-relevant-startup-or-teardown-callbacks-generic-result-and-rollback-window-complete	require-final-requested-CPUHP-state-and-cpu_online_mask:cpu8-up=cpu8-online-cpu9-offline;cpu9-up=both-online;cpu9-off=cpu8-online-cpu9-offline;last-cpu8-off=both-offline;generic-return-alone-insufficient;A30-divergence-forbids-commit	after-all-callbacks-generic-result-and-rollback-window-before-P10-membership-commit	bounded-same-generation-hotplug-state-attestation-under-canonical-lock-order	canonical-v7.1.3-CPUHP-final-state-and-online-mask-source;complete-callback-inventory-required	FAULT-on-mismatch-stale-proof-or-A30-divergence;no-membership-commit-or-HPS-accounting	contract-only-blocked
A34	reset-bootstrap	post-platform-or-external-reset-before-P13-IDLE	linux-a72-bootstrap-owner	known-good-platform-or-external-reset-complete;live-or-terminal-generation-or-IDLE-consumed-P31-attempt-discarded;no-ordinary-linux-reboot-assumption	require-exact-zero-state-topology-mapping-tuple:members=0x0-cpu8-offline-cpu9-offline-matching-CPUHP-and-online-mask-cpu8-cpu9-present-and-possible-restored-owner-validated-nonaliased-cpu_logical_map(cpu8)=0x200-cpu_logical_map(cpu9)=0x201-provider=NONE-no-durable-reference-id-private-replay-ledger=0-owner-safe-proof;cpu9-online-implies-cpu8-online;0x2-forbidden;0x1-or-0x3-bootstrap-requires-distinct-reviewed-bootstrap-origin-model-and-is-not-authorized;atomically-reinitialize-A38-four-operation-attempts=available;no-default-or-undefined-boot-contract	before-P13-enters-IDLE-or-any-P31-P01-P04-transaction	bootstrap-owner-serializes-exact-tuple-mapping-and-operation-attempt-ledger-publication-before-runtime-admission	safe-off-C01-C02-L01-L02-bootstrap-requirements;P30-present-divergence-recovery;provider-and-private-ledger-owners-unresolved	bootstrap-blocked-or-remain-terminal-on-any-present-possible-mapping-or-other-mismatch;no-runtime-transition-build-or-device-authorization	contract-only-blocked
A35	topology-admission	base-v7.1.3-selected-profile-external-device-topology-mutation	linux-hotplug-and-device-core	cpu=8-or-9;CONFIG_ARCH_CPU_PROBE_RELEASE-not-selected-on-arm64;CONFIG_ACPI-is-not-set-in-project-fragments;arm64-ACPI-present-change-rejected;internal-early-secondary-present-clear-owned-separately-by-A39	add_cpu-and-remove_cpu-are-online-offline-wrappers-covered-by-A22-and-A01-A17;external-physical-probe-release-or-present-possible-mutation-has-no-token-and-must-fail-closed-if-future-config-enables-it;do-not-claim-internal-present-mask-immutability	before-any-future-external-device-registration-unregistration-or-present-possible-mask-mutation	selected-profile-configuration-gate-before-generic-external-topology-effects	pinned-linux-7.1.3-arm64-Kconfig-cpu-device-and-ACPI-source;configs-gemini-and-gemini-handoff-ACPI-disabled	configuration-change-blocked;external-topology-effect=none;A39-handles-internal-present-divergence	contract-only-blocked
A36	pre-effect-proof	cpu8-cpu9-up-prestate-owner-preparation-and-two-argument-PSCI-call-shape	linux-a72-transition-coordinator	exact-up-operation-target-generation;cpuhp-target=CPUHP_ONLINE;cpu8-one-way-prestate-owner-gates-or-cpu9-cluster-reuse-prestate-owner-gates=pass-same-live-generation	require-cpu8-cpu_logical_map=0x200-or-cpu9-cpu_logical_map=0x201-and-exact-physical-__pa_symbol(secondary_entry);cpu8-observer-capture-window-must-open-before-P31-one-shot-consumption;after-generic-A28-pass-and-P01-P02-token-freeze-require-remaining-same-generation-cpu8-or-cpu9-operation-specific-predecessor-state-before-P17-P18;P24-calls-only-two-argument-psci_ops.cpu_on(exact-mpidr,exact-entry);cpu8-requires-P27-preprovider-and-P28-postprovider-ordered-preparation-complete-before-P24;cpu9-requires-2026-08-03-CPU8-cluster-DCM-publication-and-empty-shared-write-set;superseded-up-affinity-query-not-carried-forward	cpu8-observer-window-before-P31;P31-before-generic-A28;A28-pass-before-P01-P02-token-and-FROZEN;A36-operation-specific-predecessor-state-before-P17-P18;P27-before-R01;P28-after-R02;all-before-A22-A23-P24-CPU_ON	bounded-owner-safe-same-generation-prestate-preparation-and-source-call-shape-proof	2026-08-02-one-way-cpu8-boundary-and-2026-08-03-cpu9-cluster-reuse-designs;canonical-v7.1.3-cpu_psci_cpu_boot-source	A28-failure-is-IDLE-no-token-attempt-consumed;A36-failure-before-P17-P18-uses-P05-P06-with-attempt-consumed;P16-after-first-P27-mutation-on-preparation-provider-or-call-shape-failure;no-CPU_ON	contract-only-blocked
