slot	symbol	type	guard	matcher	state	basis	evidence_needed	effect_class	early_a53_relation
88	ARM64_WORKAROUND_845719	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_845719=y	is_affected_midr_range_list; midr_range_list=erratum_845719_list	ABSENT	canonical list contains A53, Brahma-B53, and Kryo2xx only	none_for_target_state	none_for_target	early A53 is revision-dependent; target absence is optional
89	ARM64_WORKAROUND_858921	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_858921=y	is_affected_midr_range; all MIDR_CORTEX_A73	ABSENT	A72 model is disjoint from A73	none_for_target_state	none_for_target	early A53 absent; target absent
90	ARM64_WORKAROUND_1418040	ARM64_CPUCAP_WEAK_LOCAL_CPU_FEATURE	CONFIG_ARM64_ERRATUM_1418040=y	is_affected_midr_range_list; midr_range_list=erratum_1418040_list	ABSENT	canonical list contains A76, Neoverse-N1, and Kryo4xx Gold only	none_for_target_state	none_for_target	early A53 absent; target absent; weak-local policy permits either side
91	ARM64_WORKAROUND_1463225	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_1463225=y	has_cortex_a76_erratum_1463225; midr_range_list=erratum_1463225	ABSENT	A72 fails the A76/Kryo4xx MIDR disjunction regardless of hyp state	none_for_target_state	none_for_target	early A53 absent; target absent
92	ARM64_WORKAROUND_1508412	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_1508412=y	is_affected_midr_range; MIDR_CORTEX_A77 r0p0-r1p0	ABSENT	A72 model is disjoint from A77	none_for_target_state	none_for_target	early A53 absent; target absent
94	ARM64_WORKAROUND_1742098	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_1742098=y	is_affected_midr_range_list; midr_range_list=broken_aarch32_aes	PRESENT	broken_aarch32_aes contains all A72 revisions	none_for_target_state	new_erratum_compat_aes_hwcap_clear	early A53 absent; target PRESENT is newly required
98	ARM64_WORKAROUND_2077057	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_2077057=y	is_affected_midr_range; MIDR_CORTEX_A510 r0p0-r0p2	ABSENT	A72 model is disjoint from A510	none_for_target_state	none_for_target	early A53 absent; target absent
99	ARM64_WORKAROUND_2457168	ARM64_CPUCAP_WEAK_LOCAL_CPU_FEATURE	CONFIG_ARM64_ERRATUM_2457168=y	is_affected_midr_range; MIDR_CORTEX_A510 r0p0-r1p1	ABSENT	A72 model is disjoint from A510	none_for_target_state	none_for_target	early A53 absent; target absent; weak-local policy permits either side
100	ARM64_WORKAROUND_2645198	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_2645198=y	is_affected_midr_range; all MIDR_CORTEX_A715	ABSENT	A72 model is disjoint from A715	none_for_target_state	none_for_target	early A53 absent; target absent
101	ARM64_WORKAROUND_2658417	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_2658417=y	is_affected_midr_range; MIDR_CORTEX_A510 r0p0-r1p1 with fixed revision exception	ABSENT	A72 model is disjoint from A510 before revision handling	none_for_target_state	none_for_target	early A53 absent; target absent
102	ARM64_WORKAROUND_4193714	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_4193714=y	has_sme_dvmsync_erratum; midr_range=MIDR_C1_PRO r0p0-r1p2	ABSENT	A72 fails the C1-Pro MIDR check regardless of SME state	none_for_target_state	none_for_target	early A53 absent; target absent
104	ARM64_WORKAROUND_AMPERE_AC03_CPU_38	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_AMPERE_ERRATUM_AC03_CPU_38=y	is_affected_midr_range_list; midr_range_list=erratum_ac03_cpu_38_list	ABSENT	canonical list contains Ampere1 and Ampere1A only	none_for_target_state	none_for_target	early A53 absent; target absent
105	ARM64_WORKAROUND_AMPERE_AC04_CPU_23	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_AMPERE_ERRATUM_AC04_CPU_23=y	is_affected_midr_range_list; midr_range_list=erratum_ac04_cpu_23_list	ABSENT	canonical list contains Ampere1A only	none_for_target_state	none_for_target	early A53 absent; target absent
107	ARM64_WORKAROUND_TSB_FLUSH_FAILURE	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_WORKAROUND_TSB_FLUSH_FAILURE=y	is_affected_midr_range_list; midr_range_list=tsb_flush_fail_cpus	ABSENT	selected list contains Neoverse-N2, Microsoft Cobalt, and Cortex-A710 only	none_for_target_state	none_for_target	early A53 absent; target absent
109	ARM64_WORKAROUND_CAVIUM_23154	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_CAVIUM_ERRATUM_23154=y	is_affected_midr_range_list; midr_range_list=cavium_erratum_23154_cpus	ABSENT	A72 is outside the Cavium and Octeon list	none_for_target_state	none_for_target	early A53 absent; target absent
110	ARM64_WORKAROUND_CAVIUM_27456	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_CAVIUM_ERRATUM_27456=y	is_affected_midr_range_list; midr_range_list=cavium_erratum_27456_cpus	ABSENT	A72 is outside the ThunderX list	none_for_target_state	none_for_target	early A53 absent; target absent
111	ARM64_WORKAROUND_CAVIUM_30115	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_CAVIUM_ERRATUM_30115=y	is_affected_midr_range_list; midr_range_list=cavium_erratum_30115_cpus	ABSENT	A72 is outside the ThunderX list	none_for_target_state	none_for_target	early A53 absent; target absent
112	ARM64_WORKAROUND_CAVIUM_TX2_219_PRFM	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_CAVIUM_TX2_ERRATUM_219=y	is_affected_midr_range_list; midr_range_list=tx2_family_cpus	ABSENT	A72 is outside the Vulcan and ThunderX2 list	none_for_target_state	none_for_target	early A53 absent; target absent
113	ARM64_WORKAROUND_CAVIUM_TX2_219_TVM	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_CAVIUM_TX2_ERRATUM_219=y	needs_tx2_tvm_workaround; midr_range_list=tx2_family_cpus	ABSENT	A72 fails the TX2-family MIDR check regardless of hyp/topology	none_for_target_state	none_for_target	early A53 absent; target absent
114	ARM64_WORKAROUND_CLEAN_CACHE	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_WORKAROUND_CLEAN_CACHE=y	is_affected_midr_range_list; midr_range_list=workaround_clean_cache	ABSENT	selected canonical list contains affected A53 revisions only	none_for_target_state	none_for_target	early A53 is revision-dependent; target absence is optional
115	ARM64_WORKAROUND_DEVICE_LOAD_ACQUIRE	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_832075=y	is_affected_midr_range; MIDR_CORTEX_A57 r0p0-r1p2	ABSENT	A72 model is disjoint from A57	none_for_target_state	none_for_target	early A53 absent; target absent
116	ARM64_WORKAROUND_NVIDIA_CARMEL_CNP	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_NVIDIA_CARMEL_CNP_ERRATUM=y	is_affected_midr_range; all MIDR_NVIDIA_CARMEL	ABSENT	A72 model is disjoint from Carmel	none_for_target_state	none_for_target	early A53 absent; target absent
117	ARM64_WORKAROUND_PMUV3_IMPDEF_TRAPS	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	has_impdef_pmuv3; internal list=impdef_pmuv3_cpus	ABSENT	A72 fails the Apple M1/M2 MIDR disjunction regardless of hyp or PMU state	none_for_target_state	none_for_target	early A53 absent; target absent
118	ARM64_WORKAROUND_QCOM_FALKOR_E1003	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_QCOM_FALKOR_ERRATUM_1003=y	cpucap_multi_entry_cap_matches; match_list=qcom_erratum_1003_list	ABSENT	canonical match-list contains Falkor and Kryo only	none_for_target_state	none_for_target	early A53 absent; target absent
119	ARM64_WORKAROUND_QCOM_ORYON_CNTVOFF	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	unguarded	is_affected_midr_range_list; anonymous list=all MIDR_QCOM_ORYON_X1	ABSENT	A72 model is disjoint from Oryon X1	none_for_target_state	none_for_target	early A53 absent; target absent
120	ARM64_WORKAROUND_REPEAT_TLBI	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_WORKAROUND_REPEAT_TLBI=y	cpucap_multi_entry_cap_matches; match_list=arm64_repeat_tlbi_list	ABSENT	selected members cover Falkor/Kryo and the post-A72 4118414 list; no A72 member	none_for_target_state	none_for_target	early A53 absent under selected member guards; target absent
121	ARM64_WORKAROUND_SPECULATIVE_AT	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_WORKAROUND_SPECULATIVE_AT=y	is_affected_midr_range_list; midr_range_list=erratum_speculative_at_list	PRESENT	selected list contains all A72 revisions through erratum 1319367	none_for_target_state	new_erratum_speculative_at_finalization	early A53 absent; target PRESENT is newly required
122	ARM64_WORKAROUND_SPECULATIVE_SSBS	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_ERRATUM_3194386=y	is_affected_midr_range_list; midr_range_list=erratum_spec_ssbs_list	ABSENT	canonical list starts with A76-era cores and excludes A72	none_for_target_state	none_for_target	early A53 absent; target absent
123	ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD	ARM64_CPUCAP_LOCAL_CPU_ERRATUM	CONFIG_ARM64_WORKAROUND_SPECULATIVE_UNPRIV_LOAD=y	is_affected_midr_range_list; midr_range_list=erratum_spec_unpriv_load_list	ABSENT	selected list contains Cortex-A510 and Cortex-A520 only	none_for_target_state	none_for_target	early A53 absent; target absent
