audit=gemini-kernel-config-gap
scope=vendor-enabled-vs-prepared-linux-7.1.3-and-local-fragment
interpretation=inventory_only;missing_vendor_options_require_contract_review
vendor_config=/mnt/gemini-pda-mainline/artifacts/device-inventory/20260712-live/vendor-kernel.config
mainline_config=/home/julien.guest/build/gemini-pda/linux-7.1.3/.config
fragment=/mnt/gemini-pda-mainline/configs/gemini.fragment
vendor_sha256=231d8a2ffe7afac3a4cc62c27d0eb6fe8bd9165ebd096e3e3346dd6df35c18f4
mainline_sha256=c11ddd57c1fc643202b15bcfac9564edbba61e42a0a08879369b52592ba31d7a
fragment_sha256=b50343be3b7c93ea9cc966ebb5dcf2ff95a556fde140c661c0ce86d57a93856d

[summary]
vendor_enabled=351
missing_from_mainline=233
built_in_module_delta=22
matched_enabled=96
fragment_requests=0
fragment_policy=1
reported_rows=352

[known_replacements]
vendor_option	mainline_option	vendor	mainline	rationale
CONFIG_PM_SLEEP	y	y	unset	matched-enabled
CONFIG_PM_SLEEP_SMP	y	y	unset	matched-enabled
CONFIG_PM_WAKELOCKS	y	n	unset	missing-from-mainline
CONFIG_PM_WAKELOCKS_GC	y	unset	unset	missing-from-mainline
CONFIG_POWER_SUPPLY	y	y	unset	matched-enabled
CONFIG_REGULATOR	y	y	unset	matched-enabled
CONFIG_REGULATOR_RT5735	y	y	y	matched-enabled
CONFIG_RTC_CLASS	y	y	unset	matched-enabled
CONFIG_RTC_HCTOSYS	y	y	unset	matched-enabled
CONFIG_RTC_INTF_DEV	y	y	unset	matched-enabled
CONFIG_RTC_INTF_PROC	y	y	unset	matched-enabled
CONFIG_RTC_INTF_SYSFS	y	y	unset	matched-enabled
CONFIG_RTC_LIB	y	y	unset	matched-enabled
CONFIG_SCSI	y	n	n	missing-from-mainline
CONFIG_SCSI_DMA	y	unset	unset	missing-from-mainline
CONFIG_SCSI_MOD	y	y	unset	matched-enabled
CONFIG_SCSI_PROC_FS	y	unset	unset	missing-from-mainline
CONFIG_SCSI_SCAN_ASYNC	y	unset	unset	missing-from-mainline
CONFIG_SERIAL_CORE	y	y	unset	matched-enabled
CONFIG_SERIAL_CORE_CONSOLE	y	y	unset	matched-enabled
CONFIG_SND	y	m	unset	built-in-module-delta
CONFIG_SND_COMPRESS_OFFLOAD	y	m	unset	built-in-module-delta
CONFIG_SND_DEBUG	y	n	unset	missing-from-mainline
CONFIG_SND_DEBUG_VERBOSE	y	unset	unset	missing-from-mainline
CONFIG_SND_DRIVERS	y	y	unset	matched-enabled
CONFIG_SND_DYNAMIC_MINORS	y	y	unset	matched-enabled
CONFIG_SND_HRTIMER	y	n	unset	missing-from-mainline
CONFIG_SND_HWDEP	y	m	unset	built-in-module-delta
CONFIG_SND_JACK	y	y	unset	matched-enabled
CONFIG_SND_MIXER_OSS	y	unset	unset	missing-from-mainline
CONFIG_SND_OSSEMUL	y	n	unset	missing-from-mainline
CONFIG_SND_PCM	y	m	unset	built-in-module-delta
CONFIG_SND_PCM_OSS	y	unset	unset	missing-from-mainline
CONFIG_SND_PCM_OSS_PLUGINS	y	unset	unset	missing-from-mainline
CONFIG_SND_PCM_XRUN_DEBUG	y	unset	unset	missing-from-mainline
CONFIG_SND_RAWMIDI	y	m	unset	built-in-module-delta
CONFIG_SND_RAWMIDI_SEQ	y	unset	unset	missing-from-mainline
CONFIG_SND_SEQUENCER	y	n	unset	missing-from-mainline
CONFIG_SND_SEQUENCER_OSS	y	unset	unset	missing-from-mainline
CONFIG_SND_SEQ_DUMMY	y	unset	unset	missing-from-mainline
CONFIG_SND_SEQ_HRTIMER_DEFAULT	y	unset	unset	missing-from-mainline
CONFIG_SND_SIMPLE_CARD	y	m	unset	built-in-module-delta
CONFIG_SND_SOC	y	m	unset	built-in-module-delta
CONFIG_SND_SOC_I2C_AND_SPI	y	m	unset	built-in-module-delta
CONFIG_SND_SUPPORT_OLD_API	y	n	unset	missing-from-mainline
CONFIG_SND_TIMER	y	m	unset	built-in-module-delta
CONFIG_SND_USB	y	y	unset	matched-enabled
CONFIG_SND_USB_AUDIO	y	m	unset	built-in-module-delta
CONFIG_SND_VERBOSE_PRINTK	y	unset	unset	missing-from-mainline
CONFIG_SND_VERBOSE_PROCFS	y	y	unset	matched-enabled
CONFIG_SPI	y	y	unset	matched-enabled
CONFIG_SPI_MASTER	y	y	unset	matched-enabled
CONFIG_THERMAL	y	y	unset	matched-enabled
CONFIG_THERMAL_BACKWARD_COMPATIBLE	y	unset	unset	missing-from-mainline
CONFIG_THERMAL_DEFAULT_GOV_BACKWARD_COMPATIBLE	y	unset	unset	missing-from-mainline
CONFIG_THERMAL_OF	y	y	unset	matched-enabled
CONFIG_USB	y	y	unset	matched-enabled
CONFIG_USB_ARCH_HAS_HCD	y	y	unset	matched-enabled
CONFIG_USB_COMMON	y	y	unset	matched-enabled
CONFIG_USB_C_SWITCH	y	unset	unset	missing-from-mainline
CONFIG_USB_C_SWITCH_FUSB301	y	unset	unset	missing-from-mainline
CONFIG_USB_C_SWITCH_FUSB302	y	unset	unset	missing-from-mainline
CONFIG_USB_DEFAULT_PERSIST	y	y	unset	matched-enabled
CONFIG_USB_F_ACM	y	m	unset	built-in-module-delta
CONFIG_USB_F_AUDIO_SRC	y	unset	unset	missing-from-mainline
CONFIG_USB_F_FS	y	m	unset	built-in-module-delta
CONFIG_USB_F_MASS_STORAGE	y	m	unset	built-in-module-delta
CONFIG_USB_F_SERIAL	y	m	unset	built-in-module-delta
CONFIG_USB_GADGET	y	y	unset	matched-enabled
CONFIG_USB_G_ANDROID	y	unset	unset	missing-from-mainline
CONFIG_USB_HID	y	y	unset	matched-enabled
CONFIG_USB_LIBCOMPOSITE	y	m	unset	built-in-module-delta
CONFIG_USB_MTK_DUALMODE	y	unset	unset	missing-from-mainline
CONFIG_USB_MU3D_DEFAULT_U2_MODE	y	unset	unset	missing-from-mainline
CONFIG_USB_MU3D_DRV	y	unset	unset	missing-from-mainline
CONFIG_USB_NET_DRIVERS	y	y	unset	matched-enabled
CONFIG_USB_OHCI_LITTLE_ENDIAN	y	y	unset	matched-enabled
CONFIG_USB_PHY	y	y	unset	matched-enabled
CONFIG_USB_RTL8150	y	m	unset	built-in-module-delta
CONFIG_USB_RTL8152	y	m	unset	built-in-module-delta
CONFIG_USB_STORAGE	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_ALAUDA	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_CYPRESS_ATACB	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_DATAFAB	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_FREECOM	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_ISD200	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_JUMPSHOT	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_KARMA	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_ONETOUCH	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_SDDR09	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_SDDR55	y	unset	unset	missing-from-mainline
CONFIG_USB_STORAGE_USBAT	y	unset	unset	missing-from-mainline
CONFIG_USB_SUPPORT	y	y	unset	matched-enabled
CONFIG_USB_TRANCEVIBRATOR	y	n	unset	missing-from-mainline
CONFIG_USB_U_SERIAL	y	m	unset	built-in-module-delta
CONFIG_USB_XHCI_HCD	y	y	unset	matched-enabled
CONFIG_USB_XHCI_MTK	y	y	unset	matched-enabled
CONFIG_USB_XHCI_PLATFORM	y	y	unset	matched-enabled
CONFIG_WATCHDOG	y	y	unset	matched-enabled
