id	scenario	order	function	code_range	target	action	condition	scope	wait	replay
EF18	last-a72-off	6	power_off_big	0x102be0-0x102c04	0x10006240	rmw-clear-bit0	cpu8-pwr-con	per-core-power	not-a-wait	before-ledger-clear
EF19	last-a72-off	7	power_off_big	0x102c08-0x102c3c	private-big_on-ledger	clear-bit0-to-zero	cpu8-is-last	private-firmware-state	not-a-wait	enters-cluster-off-once
EF20	last-a72-off	8	cci_disable	0x100468-0x100474	cci-slave-interface-control	write-0xfffffffc	private-big_on=0	cluster-cci	not-a-wait	last-core-only
EF21	last-a72-off	9	cci_disable	0x100478-0x100480	cci-base+0x0c	poll-bit0-equals-0	cci-change-pending	cluster-cci-status	unbounded-no-timeout	last-core-only
EF22	last-a72-off	10	power_off_big	0x102c4c-0x102c70	0x1022220c	rmw-or-0x00000011	private-big_on=0	shared-control-symbolic-name-unresolved	not-a-wait	last-core-only
EF23	last-a72-off	11	power_off_cl3	0x102788-0x1027b0	0x10396000	rmw-clear-bits1-0-and-set-controller-field	private_big_on=0	mp2-snoop-control-source-string-supported	not-a-wait	last-core-only
EF24	last-a72-off	12	power_off_cl3	0x1027b4-0x1027c4	0x1039000c	poll-bit0-equals-0	cci-change-pending	cluster-cci-global-status-source-corroborated	unbounded-no-timeout	last-core-only
EF25	last-a72-off	13	power_off_cl3	0x1027c8-0x102800	0x10396000	assert-bits1-0-equal-0	after-snoop-poll	mp2-snoop-control-source-string-supported	not-a-wait	last-core-only
EF26	last-a72-off	14	power_off_cl3	0x102800-0x102824	0x1022220c	rmw-or-0x00000011	cluster-off-entry	shared-control-symbolic-name-unresolved	not-a-wait	last-core-only
EF27	last-a72-off	15	power_off_cl3	0x102834-0x102844	0x10006178	poll-mask-0x00100000-equals-0x00100000	cluster-wfi-bit20	cluster-power-status	unbounded-no-timeout	last-core-only
EF28	last-a72-off	16	power_off_cl3	0x102854-0x102878	0x10001234	rmw-or-0x00000444	cluster-wfi-observed	internal-bus-protection	not-a-wait	last-core-only
EF29	last-a72-off	17	power_off_cl3	0x10287c-0x102894	0x1000123c	poll-mask-0x00000444-equals-0x00000444	bus-protection-requested	internal-bus-protection-status	unbounded-no-timeout	last-core-only
EF30	last-a72-off	18	power_off_cl3	0x10289c-0x1028ac	0x11015000	write-0x0b160001	bus-protection-acknowledged	secure-control-key	not-a-wait	last-core-only
EF31	last-a72-off	19	power_off_cl3	0x1028b4-0x1028d4	0x11015448	write-1-and-poll-bit0-equals-1	first-secure-handshake	shared-handshake-register-symbolic-name-unresolved	unbounded-no-timeout	last-core-only
EF32	last-a72-off	20	power_off_cl3	0x1028d8-0x1028f8	0x1001a270	rmw-clear-bit0	first-secure-handshake-complete	shared-b-ll-l-cci-mux	not-a-wait	last-core-only
EF33	last-a72-off	21	power_off_cl3	0x1028fc-0x102900	fixed-delay	wait-1us	after-mux-write	ordering-delay	bounded-1us	last-core-only
EF34	last-a72-off	22	power_off_cl3	0x102904-0x102914	0x11015448	write-1	second-secure-handshake	shared-handshake-register-symbolic-name-unresolved	not-a-wait	last-core-only
EF35	last-a72-off	23	power_off_cl3	0x102918-0x102958	0x102224a0	rmw-clear-bit0-and-store-readback	second-secure-handshake-issued	b-pll-control-and-private-snapshot	not-a-wait	last-core-only
EF36	last-a72-off	24	power_off_cl3	0x10295c-0x10297c	0x10006218	rmw-set-bit4	cluster-powerdown	mp2-spm-power-control	not-a-wait	last-core-only
EF37	last-a72-off	25	power_off_cl3	0x102980-0x1029a0	0x10006218	rmw-clear-bit2	cluster-powerdown	mp2-spm-power-control	not-a-wait	last-core-only
EF38	last-a72-off	26	power_off_cl3	0x1029a4-0x1029b4	0x10006188	poll-mask-0x00020000-equals-0	cluster-status-bit17	mp2-spm-power-status	unbounded-no-timeout	last-core-only
EF39	last-a72-off	27	power_off_cl3	0x1029b8-0x1029d8	0x10006290	rmw-set-bit1-B_EXT_BUCK_ISO	cluster-status-bit17-clear	spm-external-buck-isolation	not-a-wait	last-core-only
EF40	last-a72-off	28	power_off_cl3	0x1029dc-0x1029fc	0x10006218	rmw-clear-bit0	external-isolation-asserted	mp2-spm-power-control	not-a-wait	last-core-only
EF41	last-a72-off	29	audited-direct-last-core-callgraph	none	0x10222274	no-direct-write	audited-direct-last-core-callgraph	mp2-synchronous-dcm	absent	no-secure-owner-attributed
EF42	last-a72-off	30	audited-direct-last-core-callgraph	none	0x102222b0;0x102222b4	no-direct-write	audited-direct-last-core-callgraph	b-cluster-sram-ldo	absent	no-secure-owner-attributed
EF43	last-a72-off	31	audited-direct-last-core-callgraph	none	external-regulator	no-direct-access	audited-direct-last-core-callgraph	buckb-provider	absent	no-secure-owner-attributed
EF44	observer-prohibition	1	psci_affinity_info	0x10c58c	retained-online-cpu8	forbidden-query	present;private-big_on-bit0=1	retained-cpu-safety	may-enter-unbounded-cpu8-wfi-poll	not-an-observer
EF45	observer-prohibition	2	psci_affinity_info	0x10c58c	already-off-cpu9	forbidden-independent-query	depends-on-private-big_on-replay-gate	independent-observer-safety	not-an-independent-bound	private-gate-required
